Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.9084,0.74823,0.33246,0.46037,0.88156,0.7304,0.11972,0.20572,0.89356,0.77486,0.13065,0.2236,0.80336,0.58419,0.037834,0.071065,0.89131,0.69799,0.20021,0.31117
0.89191,0.71167,0.32799,0.44903,0.87373,0.71625,0.12221,0.20879,0.88547,0.76185,0.13762,0.23313,0.78859,0.55739,0.037871,0.070924,0.88186,0.68295,0.1984,0.30748
0.92633,0.78184,0.33358,0.46764,0.8909,0.74867,0.11995,0.20678,0.89832,0.78163,0.1292,0.22175,0.81374,0.60614,0.036289,0.068478,0.90273,0.71205,0.19932,0.31146
0.93218,0.78715,0.33434,0.46933,0.89324,0.7526,0.1201,0.20714,0.8938,0.76344,0.12565,0.21579,0.80336,0.59254,0.035079,0.066236,0.90587,0.7185,0.20061,0.31365
0.91553,0.76238,0.32993,0.46055,0.88406,0.73413,0.11905,0.20488,0.89406,0.77423,0.12962,0.22206,0.80721,0.58982,0.036004,0.067865,0.894,0.69896,0.19692,0.30727
0.91481,0.75649,0.3342,0.4636,0.88301,0.73138,0.11936,0.20523,0.89166,0.76904,0.12937,0.22149,0.79862,0.57701,0.035629,0.067115,0.89251,0.69408,0.19813,0.30826
0.90457,0.73939,0.33175,0.458,0.87937,0.72942,0.12056,0.20692,0.8916,0.77052,0.13055,0.22327,0.79955,0.5772,0.038074,0.071435,0.88792,0.69154,0.20008,0.31036
0.91923,0.76769,0.33021,0.46178,0.88614,0.73708,0.11925,0.20529,0.89592,0.77782,0.12983,0.22252,0.80802,0.59293,0.035875,0.067656,0.897,0.70131,0.19752,0.30823
0.90805,0.74351,0.33167,0.45871,0.88595,0.73865,0.12041,0.20706,0.894,0.7738,0.13002,0.22263,0.80274,0.58439,0.037204,0.069955,0.89554,0.69975,0.19917,0.31008
0.91262,0.75649,0.32974,0.45928,0.88285,0.73217,0.11914,0.20493,0.89408,0.77465,0.13001,0.22265,0.80725,0.59118,0.036584,0.068904,0.89334,0.69896,0.19787,0.30842
0.91109,0.74882,0.32902,0.45716,0.88149,0.73177,0.1195,0.20545,0.89268,0.77116,0.12974,0.22211,0.80373,0.58167,0.036825,0.069265,0.89142,0.69662,0.1976,0.30786
0.84599,0.65566,0.31609,0.42654,0.84095,0.64806,0.12019,0.20277,0.86293,0.72038,0.1411,0.23598,0.75543,0.49116,0.037477,0.069641,0.85347,0.63665,0.19524,0.29884
0.9053,0.73644,0.32894,0.45476,0.87854,0.72647,0.12014,0.20618,0.89086,0.76851,0.13008,0.2225,0.79996,0.57467,0.037581,0.070549,0.888,0.69115,0.19797,0.30779
0.90602,0.7441,0.32959,0.45683,0.87669,0.72156,0.12044,0.20642,0.89116,0.76894,0.13112,0.22403,0.7987,0.57662,0.03731,0.070085,0.88594,0.69115,0.19885,0.30885
0.90151,0.73054,0.32795,0.45269,0.87537,0.719,0.12043,0.2063,0.88866,0.76439,0.13045,0.22287,0.79676,0.5671,0.037531,0.070402,0.88497,0.68568,0.19748,0.30664
0.89743,0.72759,0.32784,0.45201,0.87835,0.7249,0.12056,0.20674,0.89185,0.76894,0.13093,0.22376,0.79558,0.57332,0.038435,0.072041,0.8845,0.68705,0.1997,0.30946
0.87789,0.69104,0.32838,0.4452,0.86693,0.70957,0.12273,0.20926,0.8806,0.75233,0.14164,0.2384,0.77668,0.54787,0.038657,0.072218,0.86852,0.66732,0.19965,0.30735
0.87079,0.68809,0.316,0.4331,0.85225,0.68285,0.11926,0.20306,0.87059,0.72884,0.13753,0.23139,0.77227,0.53078,0.036636,0.068541,0.85424,0.65384,0.19222,0.2971
0.9129,0.75531,0.33152,0.46079,0.881,0.7304,0.11906,0.20475,0.89211,0.76978,0.12945,0.22162,0.80155,0.5772,0.035822,0.067457,0.88945,0.69349,0.19681,0.3066
0.79918,0.44575,0.3677,0.40299,0.82313,0.63274,0.11721,0.19778,0.8528,0.69604,0.13757,0.22974,0.74004,0.39969,0.044174,0.079556,0.83153,0.60148,0.18578,0.28388
0.80414,0.45873,0.36698,0.40776,0.83623,0.66713,0.12139,0.2054,0.8653,0.72905,0.14215,0.23792,0.7373,0.37386,0.047036,0.083559,0.82763,0.58136,0.20531,0.30346
0.90867,0.74116,0.32923,0.45593,0.88476,0.73747,0.12015,0.20663,0.89568,0.7773,0.13052,0.22351,0.8044,0.58769,0.037713,0.070877,0.89337,0.69916,0.20006,0.3111
0.88604,0.70401,0.32956,0.44896,0.87228,0.71507,0.12253,0.20921,0.88237,0.75201,0.13317,0.22626,0.78113,0.54496,0.03841,0.071762,0.87731,0.6763,0.19789,0.30618
0.9284,0.78479,0.33442,0.46899,0.89226,0.75084,0.12016,0.20716,0.89859,0.78015,0.12869,0.22093,0.81279,0.60653,0.036156,0.068244,0.9045,0.71498,0.19996,0.31251
0.91608,0.75767,0.32747,0.4573,0.88772,0.74121,0.11976,0.2062,0.89722,0.78005,0.13007,0.22295,0.81036,0.60031,0.036893,0.069515,0.89723,0.70385,0.19919,0.31051
0.88599,0.70814,0.32556,0.44605,0.88192,0.73236,0.12022,0.20653,0.89183,0.76534,0.13043,0.22288,0.77429,0.53292,0.037278,0.069681,0.86212,0.64895,0.2006,0.30647
0.9144,0.75825,0.33316,0.46292,0.88456,0.73354,0.11959,0.20565,0.89347,0.77529,0.13024,0.22301,0.80193,0.58283,0.035752,0.067371,0.89701,0.70326,0.19988,0.31128
0.80587,0.47936,0.37208,0.41896,0.83836,0.67734,0.12296,0.20813,0.86623,0.73,0.14311,0.2393,0.72741,0.36823,0.0496,0.087424,0.82004,0.53604,0.21109,0.3029
0.7264,0.27771,0.39646,0.32663,0.80043,0.54765,0.14939,0.23474,0.83517,0.62706,0.14171,0.23117,0.67459,0.35269,0.064523,0.10909,0.74836,0.37332,0.26035,0.30677
0.91896,0.76651,0.33012,0.46148,0.88903,0.74435,0.12038,0.20725,0.89648,0.78058,0.13021,0.22319,0.81069,0.60089,0.036306,0.068474,0.90262,0.71186,0.20012,0.31241
0.53542,0.13384,0.46138,0.2075,0.754,0.29397,0.13932,0.18904,0.8039,0.47588,0.14502,0.22229,0.60259,0.25461,0.071468,0.11161,0.66248,0.27193,0.31486,0.29182
0.72701,0.34552,0.37444,0.3594,0.82668,0.62134,0.12017,0.20139,0.85023,0.6935,0.14256,0.2365,0.6574,0.29112,0.065564,0.10703,0.74464,0.35241,0.27042,0.30602
0.90245,0.73349,0.32797,0.45327,0.87401,0.71763,0.12088,0.20691,0.8876,0.76143,0.13107,0.22364,0.79486,0.56574,0.03708,0.069599,0.88239,0.68861,0.19791,0.30746
0.81423,0.48762,0.37202,0.42205,0.83894,0.66713,0.12285,0.20749,0.85802,0.7008,0.14063,0.23425,0.73363,0.38551,0.046777,0.083431,0.8233,0.61887,0.19244,0.29359
0.89461,0.70106,0.31248,0.43229,0.87608,0.72509,0.11798,0.20294,0.87883,0.72461,0.12223,0.20918,0.71113,0.4362,0.028625,0.053724,0.89529,0.70072,0.1969,0.30742
0.91683,0.76651,0.33129,0.46263,0.88491,0.73551,0.11935,0.20538,0.89589,0.77804,0.13011,0.22294,0.80735,0.59002,0.035824,0.067546,0.89579,0.70072,0.19782,0.30853
0.73367,0.33078,0.37128,0.34986,0.7978,0.54765,0.11588,0.19129,0.83044,0.6424,0.13797,0.22716,0.69405,0.33909,0.055138,0.094853,0.81512,0.57882,0.1903,0.28643
0.77978,0.45755,0.36143,0.40385,0.81303,0.58636,0.11662,0.19455,0.84738,0.68419,0.14081,0.23355,0.7199,0.35055,0.048761,0.085614,0.81911,0.59445,0.19515,0.29384
0.70525,0.273,0.40052,0.32468,0.79425,0.53174,0.14457,0.22733,0.83824,0.66854,0.13618,0.22626,0.71681,0.36395,0.051561,0.090326,0.80474,0.48896,0.20679,0.29066
0.65204,0.21108,0.4158,0.28002,0.78722,0.54215,0.17487,0.26445,0.81601,0.4981,0.13788,0.21597,0.61911,0.26627,0.070146,0.11104,0.66829,0.27623,0.31318,0.29354
