Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.92363,0.77771,0.33241,0.46575,0.94668,0.83101,0.27451,0.4127,0.89395,0.75693,0.12169,0.20968,0.90021,0.78576,0.13039,0.22366,0.80907,0.59546,0.035656,0.067283
0.92518,0.77241,0.33274,0.46512,0.9443,0.82733,0.2747,0.41245,0.89265,0.75359,0.12193,0.2099,0.89568,0.77095,0.12882,0.22075,0.80452,0.58788,0.035389,0.066759
0.90848,0.75059,0.32433,0.45294,0.94313,0.8266,0.27533,0.41307,0.88634,0.74317,0.12172,0.20918,0.8977,0.77751,0.1308,0.22392,0.80815,0.5972,0.036182,0.068231
0.93376,0.7895,0.33567,0.47106,0.94603,0.83321,0.27471,0.41319,0.89594,0.7587,0.12112,0.20889,0.89479,0.76418,0.12602,0.21636,0.80138,0.58264,0.034522,0.065182
0.92558,0.78066,0.33511,0.46892,0.94563,0.83027,0.27461,0.41271,0.89445,0.75634,0.1219,0.20997,0.898,0.77814,0.12959,0.22218,0.8073,0.59274,0.035555,0.067085
0.91527,0.75943,0.33094,0.46099,0.94407,0.82439,0.27419,0.41152,0.88963,0.74808,0.12229,0.21021,0.89588,0.77603,0.13074,0.22377,0.80273,0.584,0.035683,0.067257
0.90763,0.74823,0.32706,0.45516,0.94255,0.82439,0.27547,0.41296,0.88529,0.74199,0.12205,0.20961,0.89672,0.77666,0.13115,0.2244,0.80521,0.58943,0.036124,0.068075
0.92934,0.78538,0.33425,0.46893,0.94596,0.8288,0.27365,0.41145,0.89535,0.75575,0.12087,0.20841,0.89716,0.77317,0.12776,0.21928,0.79802,0.5807,0.034463,0.065065
0.92752,0.7842,0.33384,0.46831,0.94657,0.83248,0.27493,0.41335,0.89549,0.75968,0.1217,0.20979,0.89973,0.78259,0.12946,0.22217,0.80893,0.59681,0.035474,0.066968
0.90989,0.75413,0.33325,0.46223,0.9425,0.82439,0.27547,0.41296,0.88782,0.74219,0.12253,0.21033,0.89349,0.76968,0.13063,0.22335,0.80226,0.58205,0.035873,0.067581
0.92274,0.77535,0.33165,0.46458,0.94652,0.83174,0.27489,0.41321,0.8936,0.75614,0.1217,0.20965,0.9003,0.78608,0.13054,0.2239,0.80949,0.5974,0.035805,0.067561
0.92057,0.77064,0.33342,0.46546,0.9447,0.8266,0.27473,0.41239,0.89229,0.75634,0.12276,0.21123,0.89745,0.77751,0.13026,0.22314,0.80796,0.59701,0.036198,0.068258
0.92849,0.77771,0.33376,0.46707,0.94458,0.83174,0.27623,0.41473,0.89606,0.76046,0.12224,0.21063,0.89553,0.76989,0.1276,0.21892,0.81066,0.59681,0.035864,0.067662
0.92839,0.77889,0.33384,0.46736,0.94357,0.82366,0.27229,0.40927,0.89192,0.75221,0.12099,0.20845,0.88895,0.74714,0.1248,0.21388,0.77959,0.54671,0.032946,0.062146
0.91916,0.76474,0.33137,0.46239,0.94449,0.82586,0.27468,0.41225,0.89164,0.75555,0.12281,0.21128,0.89766,0.77814,0.13054,0.22357,0.80751,0.59565,0.036185,0.068225
0.90779,0.74941,0.33056,0.45876,0.94101,0.8266,0.27689,0.41482,0.88509,0.74062,0.12263,0.21042,0.89495,0.77158,0.131,0.22398,0.8032,0.58497,0.036334,0.068418
0.90491,0.74292,0.33062,0.4576,0.93742,0.81778,0.27632,0.41306,0.88258,0.73551,0.12277,0.21042,0.89265,0.76555,0.131,0.22372,0.79916,0.58283,0.036768,0.069172
0.92691,0.78066,0.33384,0.46768,0.94559,0.83174,0.27509,0.41344,0.89362,0.75555,0.1216,0.20948,0.89784,0.77698,0.1291,0.22141,0.8056,0.59099,0.035375,0.066755
0.91222,0.74528,0.32586,0.45345,0.93873,0.8097,0.26977,0.4047,0.88095,0.73118,0.1187,0.20424,0.87778,0.71466,0.12094,0.20687,0.73811,0.48573,0.030447,0.057301
0.91861,0.76297,0.33044,0.46115,0.94315,0.8266,0.27533,0.41307,0.88961,0.7473,0.12191,0.20962,0.89552,0.77359,0.13019,0.22287,0.80059,0.58167,0.035291,0.066544
0.92622,0.77653,0.33049,0.46365,0.94568,0.8288,0.27385,0.41168,0.89404,0.75712,0.12129,0.20909,0.8988,0.77804,0.12884,0.22108,0.79734,0.57856,0.034324,0.064803
0.92455,0.77653,0.33409,0.46719,0.94563,0.82954,0.27443,0.41242,0.894,0.75614,0.12198,0.21007,0.8981,0.78036,0.12997,0.22283,0.8074,0.59157,0.035508,0.066995
0.93122,0.78361,0.33527,0.46961,0.94431,0.82513,0.27284,0.41008,0.89341,0.75221,0.12074,0.20808,0.89138,0.7536,0.12523,0.21477,0.79359,0.56885,0.034045,0.064244
0.89735,0.73231,0.33262,0.45746,0.93734,0.82145,0.27804,0.41546,0.87916,0.72549,0.12284,0.21011,0.89032,0.76217,0.13141,0.22417,0.79317,0.57118,0.037733,0.070789
0.92802,0.78538,0.33526,0.46992,0.94612,0.83101,0.27451,0.4127,0.89519,0.7583,0.12164,0.20965,0.89913,0.78153,0.12948,0.22216,0.80733,0.59293,0.035294,0.066623
0.92055,0.77123,0.33164,0.46383,0.94558,0.82954,0.27496,0.41302,0.89257,0.75614,0.12231,0.21056,0.89971,0.78587,0.13108,0.22468,0.80977,0.5972,0.03598,0.067871
0.93061,0.78833,0.33526,0.47044,0.94603,0.83027,0.27414,0.41218,0.89542,0.75811,0.12125,0.20906,0.89777,0.77592,0.12813,0.21994,0.80237,0.58594,0.034725,0.065565
0.92766,0.78538,0.33383,0.46852,0.94542,0.82513,0.27264,0.40985,0.8937,0.75319,0.1204,0.20762,0.89761,0.7737,0.12771,0.21924,0.79957,0.58633,0.034754,0.065619
0.92151,0.77182,0.33173,0.46402,0.94581,0.83248,0.27554,0.41403,0.89353,0.75752,0.12223,0.2105,0.90002,0.78671,0.13105,0.22467,0.81056,0.59759,0.035893,0.067718
0.91459,0.75413,0.32981,0.45892,0.94285,0.82586,0.27536,0.41301,0.88906,0.74769,0.1225,0.21051,0.89524,0.77243,0.1305,0.22328,0.80255,0.58361,0.035836,0.067525
0.92861,0.78066,0.33342,0.46727,0.94505,0.8288,0.27432,0.41221,0.89478,0.75811,0.12167,0.20968,0.89636,0.7719,0.12806,0.21967,0.7999,0.584,0.034776,0.065643
0.92063,0.77123,0.3303,0.46252,0.94605,0.83174,0.27529,0.41367,0.89348,0.75791,0.12214,0.21038,0.90137,0.78967,0.13121,0.22504,0.81333,0.60381,0.036239,0.068375
0.90653,0.74823,0.33203,0.45995,0.94198,0.8266,0.27675,0.41467,0.88527,0.73846,0.12234,0.2099,0.89447,0.77148,0.13112,0.22415,0.80072,0.57914,0.03666,0.068956
0.92655,0.78243,0.33485,0.46899,0.94623,0.82733,0.27323,0.4108,0.89527,0.75791,0.12171,0.20974,0.89926,0.78036,0.12949,0.22212,0.81052,0.59915,0.03588,0.067705
0.92923,0.78243,0.332,0.46619,0.94372,0.8288,0.27425,0.41213,0.89608,0.75791,0.12123,0.20903,0.89395,0.76301,0.12609,0.21641,0.79627,0.58147,0.034462,0.065068
0.92611,0.77182,0.33056,0.46287,0.94357,0.82072,0.27171,0.40826,0.89066,0.74789,0.12023,0.20716,0.89081,0.75254,0.1252,0.21469,0.77551,0.54108,0.032545,0.061397
0.90437,0.73821,0.33245,0.45844,0.93924,0.82219,0.27691,0.41429,0.88268,0.73138,0.12254,0.20991,0.8906,0.76259,0.13096,0.22354,0.79444,0.57118,0.03644,0.068509
0.92929,0.77889,0.33384,0.46736,0.94478,0.8288,0.27419,0.41205,0.8936,0.75712,0.12183,0.20989,0.89463,0.76693,0.12768,0.21892,0.80069,0.58303,0.034908,0.065872
0.92936,0.7842,0.33292,0.4674,0.94593,0.83174,0.27422,0.41246,0.89508,0.75811,0.12107,0.20879,0.89777,0.77359,0.12759,0.21906,0.79487,0.57545,0.034042,0.064282
0.92998,0.78538,0.33585,0.47051,0.94536,0.83174,0.27482,0.41314,0.89458,0.75535,0.12132,0.20907,0.89556,0.76809,0.12749,0.21869,0.80114,0.58477,0.034897,0.065863
0.9232,0.7612,0.33282,0.46314,0.94054,0.81337,0.27026,0.40572,0.8817,0.7361,0.11959,0.20575,0.87345,0.7025,0.12007,0.20509,0.76133,0.51117,0.031913,0.060076
0.91919,0.75825,0.33085,0.46068,0.93922,0.81631,0.27137,0.40733,0.88297,0.74514,0.12115,0.20842,0.88446,0.73847,0.12583,0.21502,0.76852,0.53408,0.033084,0.062308
0.92871,0.78538,0.33459,0.46926,0.94676,0.83174,0.27449,0.41276,0.89683,0.76263,0.12195,0.21028,0.90128,0.78417,0.12949,0.22228,0.81321,0.60342,0.035972,0.067896
0.92663,0.78125,0.33451,0.46845,0.94541,0.82807,0.27381,0.41154,0.89419,0.75516,0.12154,0.20939,0.89769,0.77804,0.12936,0.22183,0.80326,0.58808,0.035097,0.06624
0.92934,0.78243,0.33167,0.46586,0.94376,0.82586,0.27321,0.41059,0.89631,0.75889,0.1212,0.20902,0.8941,0.76301,0.12579,0.21597,0.79604,0.58128,0.034404,0.064963
0.86011,0.66509,0.32183,0.43376,0.88888,0.7612,0.27857,0.40787,0.83329,0.65023,0.12259,0.20629,0.86276,0.70313,0.13081,0.22058,0.75153,0.5267,0.039301,0.073145
0.90656,0.74528,0.32678,0.45435,0.94209,0.82439,0.27561,0.41311,0.88488,0.73963,0.12193,0.20936,0.89598,0.77465,0.131,0.22411,0.80585,0.59099,0.036305,0.068408
0.88684,0.67807,0.31031,0.42577,0.93752,0.81117,0.26986,0.40499,0.87373,0.72725,0.1192,0.20483,0.87175,0.70451,0.1215,0.20726,0.69868,0.43193,0.029172,0.054652
0.888,0.71757,0.33026,0.45233,0.93187,0.8097,0.27786,0.41374,0.87182,0.7078,0.1235,0.21031,0.88581,0.7518,0.13193,0.22447,0.78595,0.56205,0.038308,0.071727
0.91128,0.74646,0.32646,0.45425,0.93842,0.80896,0.26959,0.40441,0.8803,0.7306,0.11866,0.20416,0.87685,0.71403,0.12093,0.20682,0.73602,0.48359,0.03041,0.057222
0.84722,0.64858,0.32239,0.4307,0.88537,0.73549,0.27782,0.4033,0.83477,0.65219,0.12279,0.20668,0.86019,0.69467,0.13149,0.22113,0.73405,0.49446,0.039452,0.073074
0.90461,0.74528,0.32569,0.45329,0.94231,0.82439,0.2752,0.41265,0.88429,0.73826,0.12151,0.20868,0.89654,0.77571,0.13094,0.22406,0.80706,0.59623,0.036425,0.068656
